flight,orig_index,time,GPS_TOW,navalt,alt,ax,ay,az,ias,h,navvn,navve,navvd,vn,ve,vd,p,q,r,label
104,6738,134.7599945,580485,258.9996995,260.1075134,2.753754616,-1.015837193,-6.757603168,-2.846979856,10.73396969,-2.270529509,-2.382599354,1.762212634,-2.250787973,-2.256980419,1.969994783,0.08059701324,-0.02419037372,0.4218801558,0
104,6739,134.7799988,580485,258.9644553,260.1075134,3.047880173,-0.4929473102,-7.247812748,-1.89799571,8.992571831,-2.305035591,-2.394856691,1.815764904,-2.250787973,-2.256980419,1.969994783,0.1408108771,0.001989565324,0.4428240955,0
104,6740,134.8000031,580485,258.92814,260.1075134,3.538089514,0.02994260006,-7.411215782,-2.122021675,12.62081528,-2.330291033,-2.412991047,1.85758245,-2.250787973,-2.256980419,1.969994783,0.1713541299,0.017697528,0.4471874237,0
104,6741,134.8200073,580485,258.8909883,260.1075134,3.505408764,-0.1007798836,-6.953687191,-2.846979856,8.992571831,-2.346805096,-2.442186594,1.893073916,-2.250787973,-2.256980419,1.969994783,0.2062607259,0.01682486385,0.4716220498,0
104,6742,134.8399963,580485,258.8531268,260.1075134,3.668812037,-0.6236698031,-6.659561157,-3.188061476,10.73396969,-2.364599705,-2.472696066,1.937652707,-2.250787973,-2.256980419,1.969994783,0.1940434128,0.05784010142,0.4777306914,0
104,6743,134.8600006,580485,258.8143738,260.1075134,3.505408764,-0.2641829848,-8.09750843,-3.586838961,3.335044384,-2.392130852,-2.505786657,1.98755455,-2.250787973,-2.256980419,1.969994783,0.2176053524,0.0220608525,0.4873300195,0
104,6744,134.8800049,580485,258.7746227,260.1075134,3.864895582,0.3567487895,-9.372053146,-2.684160948,8.992571831,-2.410496712,-2.530189037,2.009943247,-2.250787973,-2.256980419,1.969994783,0.2176053524,-0.07131426036,0.4951839745,0
104,6745,134.8999939,580485,258.7344238,260.1075134,4.060979366,1.173764348,-9.731539726,-3.022336483,12.62081528,-2.416425943,-2.557668209,2.005300999,-2.250787973,-2.256980419,1.969994783,0.1853167713,-0.1385094374,0.5178732872,0
104,6746,134.9199982,580485,258.6943178,260.1075134,3.864895582,1.043041825,-8.881843567,-3.586838961,8.992571831,-2.405421734,-2.590670824,1.992252111,-2.250787973,-2.256980419,1.969994783,0.1128856018,-0.1812700033,0.5265999436,0
104,6747,134.9400024,580485,258.6544728,260.1075134,3.930256844,0.7489162683,-8.391633987,-3.829688549,10.73396969,-2.395155907,-2.624299288,1.996884704,-2.250787973,-2.256980419,1.969994783,0.08845099807,-0.2057046145,0.5274725556,0
104,6748,134.9600067,580485,258.6145351,260.1075134,4.453146935,0.2260263264,-8.130188942,-2.660087585,7.106386185,-2.390006781,-2.661253452,2.011014223,-2.250787973,-2.256980419,1.969994783,0.05878039822,-0.2048319578,0.5396898985,0
104,6749,134.9799957,580485,258.5743148,260.1075134,5.13944006,0.6181937456,-8.816482544,-3.188061476,7.106386185,-2.39594388,-2.708581448,2.028080702,-2.250787973,-2.256980419,1.969994783,0.03260045871,-0.1463634223,0.5693604946,0
104,6750,135,580485,258.5337532,260.1075134,4.877995014,-0.2315023541,-9.96030426,-3.043545485,5.220543861,-2.394802094,-2.767913818,2.028685331,-2.250787973,-2.256980419,1.969994783,0.02998246439,-0.09749419987,0.5999037623,0
104,6751,135.0200043,580485,258.4931795,260.1075134,3.766853809,-0.394905448,-10.05834579,-4.363548756,7.106386185,-2.408019304,-2.815185547,2.008601904,-2.250787973,-2.256980419,1.969994783,-0.01103277318,-0.04164366424,0.5946677327,0
104,6752,135.0399933,580485,258.4530074,260.1075134,3.178602695,-0.5583085418,-9.568136215,-2.846979856,10.73396969,-2.42043519,-2.840788603,1.991817236,-2.250787973,-2.256980419,1.969994783,-0.07822795212,0.03602348641,0.5754691362,0
104,6753,135.0599976,580485,258.4131711,260.1075134,2.9498384,-0.4929473102,-9.143288612,-3.14744854,10.73396969,-2.43418479,-2.857250452,1.987284541,-2.250787973,-2.256980419,1.969994783,-0.1654944122,0.07442072779,0.5606338382,0
104,6754,135.0800018,580485,258.3734254,260.1075134,3.113241434,-0.1007798836,-9.339372635,-3.188061476,8.121981621,-2.445926189,-2.871400118,1.992045283,-2.250787973,-2.256980419,1.969994783,-0.2937761247,0.1154359654,0.5283452272,0
104,6755,135.1000061,580485,258.3335845,260.1075134,2.91715765,-0.8197535276,-10.94072247,-4.04214716,12.62081528,-2.450006485,-2.888372183,1.992198229,-2.250787973,-2.256980419,1.969994783,-0.3313006759,0.1381252408,0.510891974,0
104,6756,135.1199951,580485,258.2937405,260.1075134,2.786435127,-1.832852721,-11.43093204,-2.801425934,16.25032806,-2.468074322,-2.892427444,1.962182879,-2.250787973,-2.256980419,1.969994783,-0.4124585092,0.125035271,0.5021653175,0
104,6757,135.1399994,580485,258.2544969,260.1075134,2.91715765,-1.506046534,-10.74463844,-2.268535137,9.86323452,-2.506920099,-2.88971734,1.923516989,-2.250787973,-2.256980419,1.969994783,-0.3653346002,0.08314737678,0.521363914,0
104,6758,135.1600037,580485,258.2160265,260.1075134,3.570770025,-1.734810829,-10.31979084,-3.55079031,15.37912941,-2.540694952,-2.892968178,1.897673607,-2.250787973,-2.256980419,1.969994783,-0.3409000039,0.04038680717,0.525727272,0
104,6759,135.1799927,580485,258.1780731,260.1075134,3.962937593,-1.081198454,-11.00608349,-4.182916164,12.62081528,-2.580573082,-2.910671711,1.877159834,-2.250787973,-2.256980419,1.969994783,-0.2649781704,0.01682486385,0.5327085853,0
104,6760,135.1999969,580485,258.1405299,260.1075134,3.799534559,-0.9504759908,-12.57475376,-3.55079031,23.80378914,-2.608563662,-2.93329978,1.841259718,-2.250787973,-2.256980419,1.969994783,-0.1497864425,-0.03640767932,0.5711058378,0
104,6761,135.2200012,580485,258.1037047,260.1075134,3.440047503,-0.7543922663,-13.29372692,-2.824294806,12.62081528,-2.634810686,-2.945345879,1.775715947,-2.250787973,-2.256980419,1.969994783,-0.04506669194,-0.08527689427,0.6042670608,0
104,6762,135.2400055,580485,258.0681904,260.1075134,3.440047503,-0.4275860786,-11.92114162,-3.421630621,9.86323452,-2.657243252,-2.947386503,1.697873473,-2.250787973,-2.256980419,1.969994783,0.02561914176,-0.07131426036,0.6330649853,0
104,6763,135.2599945,580485,258.0342329,260.1075134,3.145921946,-0.4602667093,-9.927623749,-3.912769079,7.106386185,-2.671889305,-2.956688881,1.646461964,-2.250787973,-2.256980419,1.969994783,0.07623369247,0.02293351665,0.668844223,0
104,6764,135.2799988,580485,258.0013036,260.1075134,2.819115877,-0.787072897,-8.456995964,-1.64371419,5.220543861,-2.685295105,-2.97029686,1.635132551,-2.250787973,-2.256980419,1.969994783,0.08932366222,0.07442072779,0.6915335059,0
104,6765,135.3000031,580485,257.968601,260.1075134,2.426948309,-1.375324011,-7.999466896,-3.28739953,15.37912941,-2.703577757,-2.984794855,1.653956652,-2.250787973,-2.256980419,1.969994783,0.128593564,0.1084546521,0.7177134752,0
104,6766,135.3200073,580485,257.9355219,260.1075134,1.871377826,-1.669449687,-6.692242146,-3.14744854,19.15485382,-2.7326262,-2.994263411,1.683575988,-2.250787973,-2.256980419,1.969994783,0.1434288621,0.1040913239,0.7342941165,0
104,6767,135.3399963,580485,257.9018503,260.1075134,2.263545275,-1.375324011,-5.613781452,-3.55079031,8.992571831,-2.766522884,-2.999608755,1.741102457,-2.250787973,-2.256980419,1.969994783,0.1591368318,0.1049639881,0.7264401317,0
104,6768,135.3600006,580485,257.8670283,260.1075134,2.459629059,-1.146559715,-5.385017395,-2.268535137,25.54767609,-2.79277873,-3.017566919,1.817382455,-2.250787973,-2.256980419,1.969994783,0.1399382055,0.107581988,0.7081141472,0
104,6769,135.3800049,580485,257.8306806,260.1075134,2.198184013,-0.5583085418,-6.3654356,-2.801425934,9.86323452,-2.813088655,-3.040125608,1.896941662,-2.250787973,-2.256980419,1.969994783,0.07536102831,0.04824079201,0.6697168946,0
104,6770,135.3999939,580485,257.7927418,260.1075134,2.786435127,-0.2315023541,-7.541938305,-3.14744854,10.73396969,-2.82135582,-3.051609755,1.958816409,-2.250787973,-2.256980419,1.969994783,-0.04244869947,0.0159521997,0.6173570156,0
104,6771,135.4199982,580485,257.7535655,260.1075134,3.440047503,-0.3622248471,-8.162869453,-3.795947075,12.62081528,-2.821291447,-3.067740917,1.995036364,-2.250787973,-2.256980419,1.969994783,-0.1096438766,-0.002373757772,0.5754691362,0
104,6772,135.4400024,580485,257.7136648,260.1075134,3.505408764,-0.9504759908,-8.685759544,-2.459031105,3.335044384,-2.821833611,-3.093549967,2.015895128,-2.250787973,-2.256980419,1.969994783,-0.1750937253,0.005480223801,0.5475438833,0
104,6773,135.4600067,580485,257.6733469,260.1075134,3.178602695,-0.4929473102,-9.110608101,-3.000977278,20.026371,-2.833546877,-3.119529009,2.02605319,-2.250787973,-2.256980419,1.969994783,-0.2012736648,-0.01633639261,0.5222365856,0
104,6774,135.4799957,580485,257.6328258,260.1075134,3.34200573,0.3567487895,-8.94720459,-3.692873716,13.49178219,-2.837059736,-3.13601017,2.029834032,-2.250787973,-2.256980419,1.969994783,-0.2091276497,-0.0276810322,0.4882026613,0
104,6775,135.5,580485,257.5922291,260.1075134,3.962937593,0.3567487895,-8.914524078,-3.000977278,8.121981621,-2.823266506,-3.154056549,2.036315203,-2.250787973,-2.256980419,1.969994783,-0.1890563518,-0.06433294713,0.4794760346,0
104,6776,135.5200043,580485,257.5515028,260.1075134,4.64923048,0.1933456957,-8.94720459,-3.14744854,14.36282349,-2.807556152,-3.184170485,2.040328026,-2.250787973,-2.256980419,1.969994783,-0.1445504576,-0.07305959612,0.4698767066,0
104,6777,135.5399933,580485,257.5106962,260.1075134,5.466246128,0.3567487895,-8.620398521,-3.188061476,14.36282349,-2.792637348,-3.227930069,2.040280104,-2.250787973,-2.256980419,1.969994783,-0.08346393704,-0.01982705109,0.4681313932,0
104,6778,135.5599976,580485,257.4698906,260.1075134,5.989136219,-0.03541864082,-8.685759544,-3.912769079,5.220543861,-2.770994902,-3.288448572,2.042662144,-2.250787973,-2.256980419,1.969994783,-0.01539609581,0.04038680717,0.46638605,0
104,6779,135.5800018,580486,254.4030329,254.8090057,5.989463329,-0.9573031664,-9.306693077,-3.188061476,14.36282349,-5.996623039,-2.38753581,6.529146671,-6.41585207,-2.252416372,7.434875488,0.05622957274,0.08884382993,0.4432547688,0
104,6780,135.6000061,580486,254.27245,254.8090057,5.597295761,-0.5978163481,-9.764222145,-3.55079031,8.992571831,-6.050501823,-2.444865704,6.517647266,-6.41585207,-2.252416372,7.434875488,0.08939082921,0.1499303579,0.4092208445,0
104,6781,135.6199951,580486,254.142097,254.8090057,5.237809181,-0.9573031664,-9.894944191,-3.459025621,8.992571831,-6.092075825,-2.497888088,6.498820305,-6.41585207,-2.252416372,7.434875488,0.1094621196,0.1822189391,0.3760595918,0
104,6782,135.6399994,580486,254.0121206,254.8090057,6.545033932,-0.891941905,-10.41783428,-4.891737461,1.449887514,-6.134805679,-2.540921688,6.478705406,-6.41585207,-2.252416372,7.434875488,0.1033534631,0.1987995654,0.3324263692,0
104,6783,135.6600037,580486,253.8825465,254.8090057,8.734635353,-0.9573031664,-11.88846207,-3.829688549,18.13817787,-6.185956955,-2.604987383,6.442295074,-6.41585207,-2.252416372,7.434875488,0.09637214988,0.2459234595,0.3010104299,0
104,6784,135.6799927,580486,253.7537006,254.8090057,10.72815323,-2.525972843,-12.14990711,-4.995823383,16.25032806,-6.253208637,-2.700270653,6.366882801,-6.41585207,-2.252416372,7.434875488,0.1251700819,0.307009995,0.2399239093,0
104,6785,135.6999969,580486,253.6263629,254.8090057,12.52558708,-1.349470615,-14.07806396,-5.172935009,3.335044384,-6.363650322,-2.813552141,6.275747299,-6.41585207,-2.252416372,7.434875488,0.0876455009,0.3611151874,0.1544027776,0
104,6786,135.7200012,580486,253.500848,254.8090057,15.27075958,-0.891941905,-17.86901665,-5.738817692,9.86323452,-6.462099075,-2.960612297,6.138197422,-6.41585207,-2.252416372,7.434875488,0.01870499551,0.2467961311,0.06102765724,0
104,6787,135.7400055,580486,253.378084,254.8090057,20.95718765,1.853230119,-22.80378914,6.515608311,20.026371,-6.564083099,-3.142318726,5.912696362,-6.41585207,-2.252416372,7.434875488,-0.07205212861,0.217125535,-0.01751215756,0
104,6788,135.7599945,580486,253.2598301,254.8090057,25.27102852,2.049313784,-24.60122299,6.495835781,8.121981621,-6.652625561,-3.425412416,5.563927174,-6.41585207,-2.252416372,7.434875488,-0.05983482301,0.3262086213,-0.08819799125,0
104,6789,135.7799988,580486,253.1485516,254.8090057,26.70897675,0.8728115559,-22.21553802,7.128408909,5.220543861,-6.770505905,-3.774338007,5.157237053,-6.41585207,-2.252416372,7.434875488,0.1007354707,0.4893968999,-0.133576557,0
104,6790,135.8000031,580486,253.0454068,254.8090057,26.15340614,1.885910749,-16.75787544,7.454760551,9.86323452,-6.928389072,-4.143149376,4.785964489,-6.41585207,-2.252416372,7.434875488,0.2150545418,0.6185512543,-0.1615018249,0
104,6791,135.8200073,580486,252.9496875,254.8090057,24.42133331,3.487261057,-7.051730633,6.936352253,8.992571831,-7.077846527,-4.531531811,4.519454479,-6.41585207,-2.252416372,7.434875488,0.3756248355,0.7765035629,-0.1405578703,0
104,6792,135.8399963,580486,252.8592985,254.8090057,16.51262283,-2.85277915,1.804717541,6.375912666,12.62081528,-7.212437153,-4.946100235,4.44493103,-6.41585207,-2.252416372,7.434875488,0.5981543064,0.9562724829,-0.06638137996,0
104,6793,135.8600006,580486,252.7703998,254.8090057,6.250908375,-5.695992947,-1.953553796,7.128408909,5.220543861,-7.416634083,-5.206064224,4.575279713,-6.41585207,-2.252416372,7.434875488,0.6147349477,1.032194257,-0.01227616984,0
